Slang,Formal
abal,palsu
accord,sesuai
ad,ada
ado,ada
aer,air
aing,saya
aj,saja
aja,saja
ajeee,saja
ak,saya
akhirx,akhirnya
akhr,akhir
alesan,alasan
ama,sama
ambl,ambil
ampun,maaf
ancur,hancur
and,dan
ane,saya
anehh,aneh
angis,nangis
anj,anjing
anjay,anjing
anjeng,anjing
anjir,anjing
anjrit,anjing
ank,anak
ap,apa
ap2,apa-apa
apaan,apa
apasih,apa sih
ape,apa
apes,sial
aq,saya
aqu,saya
ato,atau
bae,saja
banget,sangat
bayk,banyak
bayyy,selamat tinggal
bego,bodoh
beliin,belikan
belik,beli
belom,belum
benar2,benar-benar
bener,benar
bengong,melamun
bentar,sebentar
bgg,bingung
bgini,begini
bgmn,bagaimana
bgs,bagus
bgt,sangat
bgtt,sangat
bgttt,sekali
bgus,bagus
bhas,bahas
bkl,akan
bklan,bakalan
bkn,bukan
bl,beli
blen,diratakan
blg,bilang
blh,boleh
blik,balik
blkng,belakang
blm,belum
bln,bulan
blnja,belanja
blom,belum
bls,balas
blum,belum
bnci,benci
bner,benar
bneran,benar
bngung,bingung
bnr,benar
bnran,yang benar
bnyak,banyak
bnyk,banyak
bole,boleh
br,baru
brand,merek
bravo,mantap
brg,bareng
brhnti,berhenti
brp,berapa
brti,berarti
bru,baru
bs,bisa
bsk,besok
bsr,besar
btul,betul
btw,ngomong-ngomong
buangbuang,buang
buanggeettt,sangat
burukk,buruk
burukkk,buruk
burukkkk,buruk
burukkkkk,buruk
buruukkkkkk,buruk
buyer,pembeli
buzzerbuzzer,buzzer
bwt,buat
byar,bayar
byk,banyak
byr,bayar
cabut,pergi
capek,lelah
cayalah,percaya
cb,coba
cck,cocok
cengengesan,tertawa
cepet,cepat
checkout,beli
ckup,cukup
cmiiw,correct me if i'm wrong
cmn,cuma
cmpur,campur
co,beli
cpe,capek
cpet,sepat
cpt,cepat
cr,cara
cuek,tidak acuh
cuex,cuek
cuma,hanya
cuman,hanya
cust,konsumen
d,di
da,ada
dah,sudah
dah,sudah
dalm,dalam
dapet,dapat
dateng,datang
dech,deh
deket,dekat
dengerin,dengarkan
dengr,dengar
dg,dengan
dgn,dengan
die,dia
digosipin,digosipkan
dikit,sedikit
dimaafin,dimaafkan
dimana2,dimana-mana
dimintak,diminta
dimna,dimana
disono,di sana
diuber,dikejar
diupdate,diperbarui
diupgrade,diperbarui
diupgred,diperbarui
dk,tidak
dket,dekat
dkit,sedikit
dkk,dan kawan-kawan
dl,dulu
dll,dan lain-lain
dlm,dalam
dlu,dulu
dm,pesan
dmn,dimana
dn,dan
dng,dengan
dngn,dengan
doang,saja
doi,dia
dongs,dong
donk,dong
dosting,dosis tinggi
dpt,dapat
dr,dari
dri,dari
drmana,darimana
drmn,darimana
drpd,daripada
dsb,dan sebagainya
dst,dan seterusnya
dstu,disitu
dtg,datang
dtng,datang
duh,aduh
duit,uang
dungu,bodoh
dy,dia
dzolim,zalim
eak,iya
ego,emosi
elu,kamu
emang,memang
emangnya,memangnya
emank,memang
emg,memang
emk,ibu
emng,memang
engga,tidak
enggak,tidak
enggak,tidak
entar,nanti
epek,efek
faktakta,fakta
fans,penggemar
fc wash,pembersih muka
fitnag,fitnah
fleksing,pamer
flexing,pamer
flexingnya,pamer
folbek,mengikuti
fomo,ikut-ikutan
fyi,sebagai informasi
g,tidak
ga,tidak
gaada,tidak ada
gabisa,tidak bisa
gada,tidak ada
gaess,teman-teman
gag,tidak
gaje,tidak jelas
gak,tidak
gak papa,tidak apa-apa
gamau,tidak mau
